sample,I_in,Q_in,I_out,Q_out,phase_err,u,nco_sin,nco_cos
1862,-15036,6507,7183,-3936,212872640,-23774680,3212,-32609
1863,-15233,6031,7162,-3975,208926045,-23803722,4410,-32469
1864,-15415,5550,7141,-4014,205005498,-23777681,5404,-32318
1865,-15582,5063,7144,-4008,205522210,-23751541,6590,-32098
1866,-15733,4571,7122,-4047,201588312,-23779825,7767,-31833
1867,-15869,4074,7100,-4085,197618778,-23753156,8739,-31580
1868,-15989,3574,7103,-4080,198204223,-23725627,9896,-31237
1869,-16093,3070,7081,-4118,194211907,-23753971,11039,-30852
1870,-16182,2563,7058,-4156,190245239,-23725798,11980,-30498
1871,-16254,2053,7061,-4151,190787162,-23697516,13094,-30037
1872,-16311,1542,7039,-4189,186843579,-23724535,14191,-29534
1873,-16351,1029,7016,-4227,182835723,-23696173,15090,-29085
1874,-16375,515,7019,-4222,183376170,-23666595,16151,-28510
1875,-16384,0,6996,-4260,179378210,-23692804,17189,-27896
1876,-16375,-515,6974,-4298,175423488,-23662978,18037,-27356
1877,-16351,-1029,6976,-4292,175976020,-23633259,19032,-26674
1878,-16311,-1542,6953,-4330,171985816,-23658826,20000,-25955
1879,-16254,-2053,6930,-4368,167994615,-23628305,20787,-25329
1880,-16182,-2563,6933,-4363,168501816,-23597346,21705,-24547
1881,-16093,-3070,6909,-4400,164533120,-23621559,22594,-23731
1882,-15989,-3574,6885,-4437,160515491,-23590506,23311,-23027
1883,-15869,-4074,6889,-4432,161071136,-23558424,24143,-22154
1884,-15733,-4571,6865,-4469,157050537,-23582437,24811,-21403
1885,-15582,-5063,6868,-4464,157626130,-23549949,25582,-20475
1886,-15415,-5550,6844,-4501,153609317,-23573838,26319,-19519
1887,-15233,-6031,6820,-4538,149578900,-23541029,26905,-18703
1888,-15036,-6507,6823,-4533,150120782,-23507622,27575,-17700
1889,-14824,-6976,6798,-4570,146123925,-23530297,28105,-16846
1890,-14598,-7438,6802,-4565,146674760,-23496932,28706,-15800
1891,-14357,-7893,6777,-4601,142633840,-23519348,29268,-14732
1892,-14102,-8340,6752,-4638,138598648,-23485071,29706,-13828
1893,-13833,-8779,6755,-4633,139162004,-23450433,30195,-12725
1894,-13550,-9209,6730,-4669,135132170,-23472200,30571,-11793
1895,-13255,-9630,6734,-4664,135688176,-23437257,30985,-10659
1896,-12946,-10042,6708,-4701,131610590,-23458563,31356,-9512
1897,-12624,-10443,6683,-4737,127604032,-23422659,31633,-8545
1898,-12289,-10835,6686,-4732,128115942,-23387197,31926,-7375
1899,-11943,-11215,6661,-4768,124119096,-23407154,32137,-6393
1900,-11585,-11585,6664,-4763,124653358,-23371439,32351,-5205
1901,-11215,-11943,6638,-4799,120599850,-23391300,32521,-4011
1902,-10835,-12289,6612,-4835,116562026,-23354515,32628,-3012
1903,-10443,-12624,6616,-4830,117090600,-23317491,32717,-1809
1904,-10042,-12946,6590,-4865,113083980,-23336475,32757,-804
1905,-9630,-13255,6594,-4861,113608680,-23299462,32761,603
1906,-9209,-13550,6537,-4936,104958970,-23318026,32728,1608
1907,-8779,-13833,6540,-4932,105475776,-23223254,32646,2811
1908,-8340,-14102,6514,-4967,101430552,-23240853,32521,4011
1909,-7893,-14357,6487,-5002,97371140,-23202122,32382,5007
1910,-7438,-14598,6490,-4997,97911498,-23162784,32176,6195
1911,-6976,-14824,6464,-5032,93867140,-23179863,31971,7179
1912,-6507,-15036,6467,-5028,94406208,-23140335,31685,8351
1913,-6031,-15233,6440,-5062,90335772,-23157024,31414,9319
1914,-5550,-15415,6444,-5057,90912412,-23116799,31050,10469
1915,-5063,-15582,6416,-5092,86825665,-23133575,30714,11417
1916,-4571,-15733,6420,-5088,87376601,-23092775,30273,12539
1917,-4074,-15869,6392,-5122,83315370,-23108859,29874,13462
1918,-3574,-15989,6396,-5117,83891164,-23067997,29358,14553
1919,-3070,-16093,6368,-5152,79779231,-23084013,28898,15446
1920,-2563,-16182,6372,-5147,80346956,-23042152,28310,16499
1921,-2053,-16254,6344,-5182,76280135,-23057691,27790,17360
1922,-1542,-16311,6348,-5177,76836270,-23016009,27133,18371
1923,-1029,-16351,6320,-5211,72749814,-23031031,26556,19195
1924,-515,-16375,6324,-5207,73281932,-22988731,25832,20159
1925,0,-16384,6296,-5240,69210010,-23003079,25201,20942
1926,515,-16375,6300,-5236,69779456,-22960579,24413,21856
1927,1029,-16351,6271,-5270,65699410,-22975010,23731,22594
1928,1542,-16311,6275,-5265,66259512,-22932036,22884,23452
1929,2053,-16254,6247,-5299,62185464,-22945977,22154,24143
1930,2563,-16182,6250,-5294,62718535,-22902701,21250,24942
1931,3070,-16093,6222,-5328,58646152,-22915932,20475,25582
1932,3574,-15989,6226,-5323,59208039,-22872298,19519,26319
1933,4074,-15869,6197,-5357,55099812,-22885507,18703,26905
1934,4571,-15733,6201,-5353,55649454,-22841055,17700,27575
1935,5063,-15582,6172,-5386,51588650,-22853734,16846,28105
1936,5550,-15415,6176,-5381,52149175,-22809489,15976,28609
1937,6031,-15233,6180,-5377,52709055,-22821928,14912,29177
1938,6507,-15036,6151,-5410,48602014,-22834419,14010,29621
1939,6976,-14824,6155,-5405,49179921,-22789288,12910,30117
1940,7438,-14598,6126,-5439,45079784,-22801622,11980,30498
1941,7893,-14357,6129,-5434,45625600,-22756199,10849,30919
1942,8340,-14102,6100,-5467,41529834,-22767761,9896,31237
1943,8779,-13833,6104,-5463,42098438,-22722013,8933,31526
1944,9209,-13550,6108,-5458,42660592,-22733477,7767,31833
1945,9630,-13255,6078,-5491,38582100,-22744922,6786,32057
1946,10042,-12946,6083,-5487,39090985,-22699071,5602,32285
1947,10443,-12624,6053,-5520,35023136,-22709482,4609,32441
1948,10835,-12289,6057,-5515,35561982,-22663381,3412,32589
1949,11215,-11943,6027,-5547,31514682,-22673782,2410,32678
1950,11585,-11585,6031,-5543,32021196,-22627558,1407,32737
1951,11943,-11215,6035,-5539,32600190,-22637185,201,32766
1952,12289,-10835,6005,-5571,28508406,-22647762,-603,32761
1953,12624,-10443,6043,-5530,33690722,-22600672,-1809,32717
1954,12946,-10042,6013,-5562,29627574,-22667769,-2811,32646
1955,13255,-9630,6018,-5558,30184716,-22621149,-3811,32545
1956,13550,-9209,6022,-5554,30760890,-22631200,-5007,32382
1957,13833,-8779,5991,-5586,26615949,-22641546,-5998,32213
1958,14102,-8340,5995,-5582,27177726,-22593602,-7179,31971
1959,14357,-7893,5965,-5614,23105784,-22603389,-8157,31736
1960,14598,-7438,5970,-5610,23648254,-22555965,-9126,31470
1961,14824,-6976,5974,-5605,24224664,-22565138,-10278,31113
1962,15036,-6507,5943,-5637,20114424,-22574789,-11228,30783
1963,15233,-6031,5947,-5633,20663403,-22526576,-12353,30349
1964,15415,-5550,5917,-5665,16597306,-22535510,-13279,29956
1965,15582,-5063,5921,-5661,17121705,-22487462,-14191,29534
1966,15733,-4571,5925,-5656,17694951,-22495717,-15269,28992
1967,15869,-4074,5895,-5688,13586928,-22504631,-16151,28510
1968,15989,-3574,5899,-5684,14176057,-22455748,-17018,28001
1969,16093,-3070,5903,-5679,14709281,-22464481,-18037,27356
1970,16182,-2563,5872,-5711,10614157,-22472586,-18868,26790
1971,16254,-2053,5877,-5707,11172350,-22423543,-19680,26198
1972,16311,-1542,5881,-5702,11756038,-22431576,-20631,25456
1973,16351,-1029,5850,-5734,7634421,-22439984,-21403,24811
1974,16375,-515,5854,-5730,8170002,-22390299,-22154,24143
1975,16384,0,5858,-5726,8726920,-22397735,-23027,23311
1976,16375,515,5827,-5757,4653056,-22405491,-23731,22594
1977,16351,1029,5831,-5752,5239000,-22356072,-24547,21705
1978,16311,1542,5800,-5784,1123766,-22363812,-25201,20942
1979,16254,2053,5805,-5780,1683957,-22313509,-25832,20159
1980,16182,2563,5808,-5776,2210581,-22320553,-26556,19195
1981,16093,3070,5778,-5807,-1855889,-22327242,-27133,18371
